unit_code,unit_title,level,session,category,evidence_item_count,has_evidence,source_url
INFS2030,Digital Business Management,UG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Hybrid Learning,0,No,https://www.sydney.edu.au/units/INFS2030/2026-S1C-ND-CC
INFS2030,Digital Business Management,UG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Simulation and Case-Based Learning,1,Yes,https://www.sydney.edu.au/units/INFS2030/2026-S1C-ND-CC
INFS2040,Working in High-Performing Project Teams,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Work-Integrated and Applied Learning,0,No,https://www.sydney.edu.au/units/INFS2040/2026-S2C-ND-CC
INFS2040,Working in High-Performing Project Teams,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Project- and Problem-Based Learning,1,Yes,https://www.sydney.edu.au/units/INFS2040/2026-S2C-ND-CC
INFS2040,Working in High-Performing Project Teams,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Community Learning,0,No,https://www.sydney.edu.au/units/INFS2040/2026-S2C-ND-CC
INFS2040,Working in High-Performing Project Teams,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Entrepreneurial Learning,0,No,https://www.sydney.edu.au/units/INFS2040/2026-S2C-ND-CC
INFS2040,Working in High-Performing Project Teams,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Technology-Mediated Learning,0,No,https://www.sydney.edu.au/units/INFS2040/2026-S2C-ND-CC
INFS2040,Working in High-Performing Project Teams,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Hybrid Learning,0,No,https://www.sydney.edu.au/units/INFS2040/2026-S2C-ND-CC
INFS2040,Working in High-Performing Project Teams,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Simulation and Case-Based Learning,1,Yes,https://www.sydney.edu.au/units/INFS2040/2026-S2C-ND-CC
INFS2050,Data Governance and Technology Assurance,UG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Work-Integrated and Applied Learning,0,No,https://www.sydney.edu.au/units/INFS2050/2026-S1C-ND-CC
INFS2050,Data Governance and Technology Assurance,UG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Project- and Problem-Based Learning,0,No,https://www.sydney.edu.au/units/INFS2050/2026-S1C-ND-CC
INFS2050,Data Governance and Technology Assurance,UG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Community Learning,0,No,https://www.sydney.edu.au/units/INFS2050/2026-S1C-ND-CC
INFS2050,Data Governance and Technology Assurance,UG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Entrepreneurial Learning,0,No,https://www.sydney.edu.au/units/INFS2050/2026-S1C-ND-CC
INFS2050,Data Governance and Technology Assurance,UG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Technology-Mediated Learning,0,No,https://www.sydney.edu.au/units/INFS2050/2026-S1C-ND-CC
INFS2050,Data Governance and Technology Assurance,UG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Hybrid Learning,0,No,https://www.sydney.edu.au/units/INFS2050/2026-S1C-ND-CC
INFS2050,Data Governance and Technology Assurance,UG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Simulation and Case-Based Learning,3,Yes,https://www.sydney.edu.au/units/INFS2050/2026-S1C-ND-CC
INFS3040,Enterprise Systems and Integrated Business,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Work-Integrated and Applied Learning,0,No,https://www.sydney.edu.au/units/INFS3040/2026-S2C-ND-CC
INFS3040,Enterprise Systems and Integrated Business,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Project- and Problem-Based Learning,2,Yes,https://www.sydney.edu.au/units/INFS3040/2026-S2C-ND-CC
INFS3040,Enterprise Systems and Integrated Business,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Community Learning,0,No,https://www.sydney.edu.au/units/INFS3040/2026-S2C-ND-CC
INFS3040,Enterprise Systems and Integrated Business,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Entrepreneurial Learning,0,No,https://www.sydney.edu.au/units/INFS3040/2026-S2C-ND-CC
INFS3040,Enterprise Systems and Integrated Business,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Technology-Mediated Learning,0,No,https://www.sydney.edu.au/units/INFS3040/2026-S2C-ND-CC
INFS3040,Enterprise Systems and Integrated Business,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Hybrid Learning,0,No,https://www.sydney.edu.au/units/INFS3040/2026-S2C-ND-CC
INFS3040,Enterprise Systems and Integrated Business,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Simulation and Case-Based Learning,0,No,https://www.sydney.edu.au/units/INFS3040/2026-S2C-ND-CC
INFS3050,Business Intelligence for Managers,UG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Work-Integrated and Applied Learning,0,No,https://www.sydney.edu.au/units/INFS3050/2026-S1C-ND-CC
INFS3050,Business Intelligence for Managers,UG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Project- and Problem-Based Learning,1,Yes,https://www.sydney.edu.au/units/INFS3050/2026-S1C-ND-CC
INFS3050,Business Intelligence for Managers,UG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Community Learning,0,No,https://www.sydney.edu.au/units/INFS3050/2026-S1C-ND-CC
INFS3050,Business Intelligence for Managers,UG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Entrepreneurial Learning,0,No,https://www.sydney.edu.au/units/INFS3050/2026-S1C-ND-CC
INFS3050,Business Intelligence for Managers,UG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Technology-Mediated Learning,0,No,https://www.sydney.edu.au/units/INFS3050/2026-S1C-ND-CC
INFS3050,Business Intelligence for Managers,UG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Hybrid Learning,0,No,https://www.sydney.edu.au/units/INFS3050/2026-S1C-ND-CC
INFS3050,Business Intelligence for Managers,UG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Simulation and Case-Based Learning,0,No,https://www.sydney.edu.au/units/INFS3050/2026-S1C-ND-CC
INFS3120,Business Process Analysis and Design,UG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Work-Integrated and Applied Learning,0,No,https://www.sydney.edu.au/units/INFS3120/2026-S1C-ND-CC
INFS3120,Business Process Analysis and Design,UG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Project- and Problem-Based Learning,2,Yes,https://www.sydney.edu.au/units/INFS3120/2026-S1C-ND-CC
INFS3120,Business Process Analysis and Design,UG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Community Learning,0,No,https://www.sydney.edu.au/units/INFS3120/2026-S1C-ND-CC
INFS3120,Business Process Analysis and Design,UG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Entrepreneurial Learning,0,No,https://www.sydney.edu.au/units/INFS3120/2026-S1C-ND-CC
INFS3120,Business Process Analysis and Design,UG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Technology-Mediated Learning,0,No,https://www.sydney.edu.au/units/INFS3120/2026-S1C-ND-CC
INFS3120,Business Process Analysis and Design,UG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Hybrid Learning,0,No,https://www.sydney.edu.au/units/INFS3120/2026-S1C-ND-CC
INFS3120,Business Process Analysis and Design,UG,"Semester 1, 2026 [Normal day] - Camperdown/Darlington, Sydney",Simulation and Case-Based Learning,5,Yes,https://www.sydney.edu.au/units/INFS3120/2026-S1C-ND-CC
INFS3400,Industry and Community Project,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Work-Integrated and Applied Learning,1,Yes,https://www.sydney.edu.au/units/INFS3400/2026-S2C-ND-CC
INFS3400,Industry and Community Project,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Project- and Problem-Based Learning,5,Yes,https://www.sydney.edu.au/units/INFS3400/2026-S2C-ND-CC
INFS3400,Industry and Community Project,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Community Learning,0,No,https://www.sydney.edu.au/units/INFS3400/2026-S2C-ND-CC
INFS3400,Industry and Community Project,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Entrepreneurial Learning,0,No,https://www.sydney.edu.au/units/INFS3400/2026-S2C-ND-CC
INFS3400,Industry and Community Project,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Technology-Mediated Learning,0,No,https://www.sydney.edu.au/units/INFS3400/2026-S2C-ND-CC
INFS3400,Industry and Community Project,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Hybrid Learning,0,No,https://www.sydney.edu.au/units/INFS3400/2026-S2C-ND-CC
INFS3400,Industry and Community Project,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Simulation and Case-Based Learning,0,No,https://www.sydney.edu.au/units/INFS3400/2026-S2C-ND-CC
INFS3600,Business Information Systems in Practice,UG,"Semester 2, 2026 [Normal day] - Camperdown/Darlington, Sydney",Work-Integrated and Applied Learning,6,Yes,https://www.sydney.edu.au/units/INFS3600/2026-S2C-ND-CC
