category_id,category,ug_units_with_evidence,ug_evidence_items,pg_units_with_evidence,pg_evidence_items,all_units_with_evidence,all_evidence_items
work_integrated_applied,Work-Integrated and Applied Learning,4,11,9,24,13,35
project_problem_based,Project- and Problem-Based Learning,9,27,14,52,23,79
community_learning,Community Learning,0,0,0,0,0,0
entrepreneurial_learning,Entrepreneurial Learning,0,0,2,4,2,4
technology_mediated,Technology-Mediated Learning,0,0,0,0,0,0
hybrid_learning,Hybrid Learning,0,0,0,0,0,0
simulation_case_based,Simulation and Case-Based Learning,6,16,11,34,17,50
