unit_code,category_id,category,item_id,section,label,score,classification_status,confidence,manual_review_required,text,matched_rule_labels,source_url
INFS6600,case_based,Case-Based Learning,AS06,assessment,"Business Models Submission of partner's business, operating models, and IS architecture",2.0,review,review,True,"Type: Case studies. Description: Business Models Submission of partner's business, operating models, and IS architecture",administrative case-studies label,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,case_based,Case-Based Learning,AS12,assessment,Group Report Written report,2.0,review,review,True,Type: Case studies. Description: Group Report Written report,administrative case-studies label,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,work_integrated_applied,Work-Integrated and Applied Learning,WK01,weekly_schedule,Week 01: Unit Introduction & Project Immersion,2.0,review,review,False,Unit Introduction & Project Immersion. Learning activity: Seminar (3 hr),project immersion,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,project_problem_based,Project- and Problem-Based Learning,WK04,weekly_schedule,Week 04: Project Planning,2.0,review,review,True,Project Planning. Learning activity: Seminar (3 hr),generic project planning,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,entrepreneurial_learning,Entrepreneurial Learning,WK07,weekly_schedule,Week 07: Ideation,2.0,review,review,True,Ideation. Learning activity: Seminar (3 hr),generic ideation or prototyping,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,entrepreneurial_learning,Entrepreneurial Learning,WK08,weekly_schedule,Week 08: Prototyping,2.0,review,review,True,Prototyping. Learning activity: Seminar (3 hr),generic ideation or prototyping,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
INFS6600,project_problem_based,Project- and Problem-Based Learning,WK10,weekly_schedule,Week 10: Implementation Planning,2.0,review,review,True,Implementation Planning. Learning activity: Seminar (3 hr),generic project planning,https://www.sydney.edu.au/units/INFS6600/2026-S2C-NE-CC
